Name	Surname	ND1	ND2	ND3	ND4	ND5	EGZ
Name0	Surname0	2	8	5	1	10	5
Name1	Surname1	9	9	3	5	6	6
Name2	Surname2	2	8	2	2	6	3
Name3	Surname3	8	7	2	5	3	4
Name4	Surname4	3	3	2	7	9	6
Name5	Surname5	8	7	2	9	10	3
Name6	Surname6	8	10	6	5	4	2
Name7	Surname7	3	4	4	5	2	2
Name8	Surname8	4	9	8	5	3	8
Name9	Surname9	8	10	4	2	10	9
Name10	Surname10	7	6	1	3	9	7
Name11	Surname11	1	3	5	9	7	6
Name12	Surname12	1	10	1	1	7	2
Name13	Surname13	4	9	10	4	5	5
Name14	Surname14	7	1	7	7	2	9
Name15	Surname15	5	10	7	4	8	9
Name16	Surname16	9	3	10	2	4	6
Name17	Surname17	10	9	5	1	8	7
Name18	Surname18	4	7	2	6	5	3
Name19	Surname19	1	10	8	4	8	3
Name20	Surname20	7	1	2	7	6	8
Name21	Surname21	6	5	2	3	1	1
Name22	Surname22	2	5	7	1	8	2
Name23	Surname23	8	8	8	8	4	4
Name24	Surname24	6	10	10	9	2	9
Name25	Surname25	3	7	7	1	4	9
Name26	Surname26	1	2	3	6	1	10
Name27	Surname27	5	8	9	4	6	2
Name28	Surname28	3	1	2	7	5	1
Name29	Surname29	7	2	9	10	9	5
Name30	Surname30	2	5	4	10	9	9
Name31	Surname31	1	9	8	8	9	4
Name32	Surname32	9	4	8	2	1	8
Name33	Surname33	4	5	10	7	6	2
Name34	Surname34	1	10	10	7	9	4
Name35	Surname35	5	9	5	10	10	3
Name36	Surname36	6	6	4	4	4	8
Name37	Surname37	5	4	9	1	9	9
Name38	Surname38	1	7	9	2	10	9
Name39	Surname39	10	8	3	3	9	3
Name40	Surname40	9	10	1	8	9	2
Name41	Surname41	6	9	7	2	3	5
Name42	Surname42	3	6	9	7	3	7
Name43	Surname43	6	4	10	3	5	7
Name44	Surname44	2	9	3	2	2	10
Name45	Surname45	8	7	3	10	6	3
Name46	Surname46	1	1	4	10	2	9
Name47	Surname47	2	10	6	4	3	6
Name48	Surname48	3	6	9	7	8	8
Name49	Surname49	3	3	10	5	2	10
Name50	Surname50	7	10	9	3	6	6
Name51	Surname51	5	10	2	3	6	1
Name52	Surname52	9	4	10	4	10	7
Name53	Surname53	8	10	10	8	7	10
Name54	Surname54	4	6	8	7	7	6
Name55	Surname55	9	3	6	5	5	2
Name56	Surname56	7	2	7	4	4	6
Name57	Surname57	6	4	3	9	3	6
Name58	Surname58	4	7	2	9	7	3
Name59	Surname59	2	5	7	3	10	2
Name60	Surname60	6	1	4	7	5	10
Name61	Surname61	3	10	4	5	5	1
Name62	Surname62	6	10	7	4	5	3
Name63	Surname63	9	9	8	6	9	2
Name64	Surname64	3	6	8	5	5	5
Name65	Surname65	5	5	3	10	4	1
Name66	Surname66	8	8	9	8	4	1
Name67	Surname67	4	9	3	6	3	1
Name68	Surname68	4	8	3	10	8	6
Name69	Surname69	4	5	4	3	2	2
Name70	Surname70	4	3	6	4	6	2
Name71	Surname71	3	3	3	7	5	1
Name72	Surname72	8	1	4	5	1	1
Name73	Surname73	6	4	2	1	7	8
Name74	Surname74	6	1	1	5	6	5
Name75	Surname75	10	6	7	5	9	3
Name76	Surname76	2	7	9	4	2	5
Name77	Surname77	9	5	10	3	1	8
Name78	Surname78	1	7	1	8	1	6
Name79	Surname79	7	8	4	9	5	10
Name80	Surname80	3	7	6	8	8	5
Name81	Surname81	6	8	10	9	4	1
Name82	Surname82	3	3	4	7	8	2
Name83	Surname83	6	6	5	1	3	7
Name84	Surname84	1	7	2	2	2	8
Name85	Surname85	4	1	1	5	9	4
Name86	Surname86	1	2	3	10	1	4
Name87	Surname87	9	9	6	8	8	1
Name88	Surname88	9	10	4	1	8	5
Name89	Surname89	8	9	4	8	2	1
Name90	Surname90	1	9	4	5	6	1
Name91	Surname91	2	5	6	7	3	1
Name92	Surname92	4	6	7	7	7	8
Name93	Surname93	7	8	8	2	10	2
Name94	Surname94	7	3	8	3	8	7
Name95	Surname95	6	2	4	10	10	6
Name96	Surname96	10	3	7	6	4	3
Name97	Surname97	5	5	5	3	8	10
Name98	Surname98	3	4	8	4	2	6
Name99	Surname99	8	9	6	9	4	3
Name100	Surname100	5	2	2	6	10	6
Name101	Surname101	2	1	7	5	6	4
Name102	Surname102	1	9	10	2	4	5
Name103	Surname103	8	5	7	4	7	6
Name104	Surname104	3	9	2	1	4	2
Name105	Surname105	6	6	3	3	2	8
Name106	Surname106	5	9	3	4	7	4
Name107	Surname107	1	4	6	3	9	1
Name108	Surname108	8	3	3	6	10	2
Name109	Surname109	1	9	6	1	8	10
Name110	Surname110	1	6	4	5	2	1
Name111	Surname111	5	9	6	10	3	6
Name112	Surname112	5	2	4	10	6	9
Name113	Surname113	3	8	10	7	2	8
Name114	Surname114	8	2	10	1	4	5
Name115	Surname115	2	8	6	4	4	3
Name116	Surname116	5	2	3	10	1	9
Name117	Surname117	8	5	6	7	9	1
Name118	Surname118	8	8	5	4	2	4
Name119	Surname119	7	4	1	2	10	1
Name120	Surname120	5	3	10	4	2	5
Name121	Surname121	9	3	1	6	6	10
Name122	Surname122	4	3	9	8	5	9
Name123	Surname123	2	5	4	6	6	3
Name124	Surname124	7	9	10	3	10	6
Name125	Surname125	10	5	6	1	6	9
Name126	Surname126	9	1	2	4	3	3
Name127	Surname127	3	8	1	4	2	4
Name128	Surname128	4	8	1	10	6	6
Name129	Surname129	9	4	8	9	4	8
Name130	Surname130	10	4	10	2	9	3
Name131	Surname131	9	1	2	9	5	9
Name132	Surname132	7	1	10	4	1	1
Name133	Surname133	9	8	7	4	6	7
Name134	Surname134	6	9	4	10	5	9
Name135	Surname135	4	10	8	7	5	6
Name136	Surname136	9	7	2	6	6	2
Name137	Surname137	10	7	5	6	5	3
Name138	Surname138	6	4	3	7	9	3
Name139	Surname139	7	7	4	10	5	6
Name140	Surname140	7	3	6	4	6	7
Name141	Surname141	7	2	5	5	7	3
Name142	Surname142	7	9	3	6	6	2
Name143	Surname143	1	2	6	2	8	7
Name144	Surname144	1	1	3	5	4	4
Name145	Surname145	7	3	9	3	4	5
Name146	Surname146	4	5	4	7	9	5
Name147	Surname147	8	4	10	9	1	1
Name148	Surname148	9	9	1	6	2	5
Name149	Surname149	4	7	4	10	3	2
Name150	Surname150	10	9	3	4	5	1
Name151	Surname151	3	4	2	10	9	10
Name152	Surname152	9	10	2	4	6	2
Name153	Surname153	5	3	6	4	9	10
Name154	Surname154	3	9	8	1	2	5
Name155	Surname155	9	2	10	4	6	10
Name156	Surname156	8	10	9	1	2	5
Name157	Surname157	8	6	6	6	1	10
Name158	Surname158	3	9	3	5	6	1
Name159	Surname159	5	5	1	6	2	2
Name160	Surname160	6	10	1	9	4	9
Name161	Surname161	8	3	7	10	4	9
Name162	Surname162	2	1	4	4	9	5
Name163	Surname163	9	1	2	6	5	2
Name164	Surname164	4	8	4	6	9	6
Name165	Surname165	7	10	1	9	10	4
Name166	Surname166	7	1	7	10	8	9
Name167	Surname167	10	5	2	6	7	7
Name168	Surname168	7	7	7	8	2	5
Name169	Surname169	1	7	2	3	2	5
Name170	Surname170	10	6	3	4	5	2
Name171	Surname171	6	3	4	2	7	9
Name172	Surname172	9	3	8	8	2	3
Name173	Surname173	7	1	5	10	5	7
Name174	Surname174	1	4	7	3	5	6
Name175	Surname175	9	9	2	3	2	5
Name176	Surname176	10	9	3	5	6	3
Name177	Surname177	10	10	9	4	9	7
Name178	Surname178	10	9	7	7	3	4
Name179	Surname179	9	3	7	3	8	6
Name180	Surname180	8	9	3	8	9	1
Name181	Surname181	3	1	9	10	3	9
Name182	Surname182	3	1	6	6	3	8
Name183	Surname183	7	8	9	8	9	2
Name184	Surname184	7	1	10	6	9	10
Name185	Surname185	1	1	1	8	3	6
Name186	Surname186	6	3	2	5	9	7
Name187	Surname187	5	7	9	10	9	4
Name188	Surname188	6	6	2	6	6	9
Name189	Surname189	5	1	6	5	8	3
Name190	Surname190	2	5	10	10	1	4
Name191	Surname191	1	4	6	1	8	7
Name192	Surname192	8	9	4	7	5	5
Name193	Surname193	2	10	6	6	8	5
Name194	Surname194	8	4	5	1	9	9
Name195	Surname195	2	6	3	4	3	5
Name196	Surname196	7	7	7	3	10	1
Name197	Surname197	5	10	4	2	2	10
Name198	Surname198	10	6	6	6	7	1
Name199	Surname199	6	10	5	7	4	5
Name200	Surname200	10	1	6	4	10	2
Name201	Surname201	3	9	9	2	9	7
Name202	Surname202	1	3	5	10	1	3
